GHGRP ID,Landfill ID,Facility.Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
1006149,275,Shafter-Wasco SLF,CA,,17621 Scofield Road,Shafter,Kern,93263,35.51042,-119.41085,No,Public,"Kern County, CA","Kern County, CA",1972,2056,Open,135,91.5,70,50,"24,139,435","3,164,654",2009,"141,456",2008,Unknown,Not used,No,0.9,Yes,0.399,2012,32.2,Yes,1,0.399,2012,"9/10-19 wells, gas collection began in 2005, 1 enclosed flare.; 2010-21 wells, system capacity=450 acfm."
,346,Sheldon-Arleta LF,CA,,12455 Wicks Street,Sun Valley,Los Angeles,91352,34.2263,-118.4044,No,Public,"City of Los Angeles, Bureau of Sanitation, CA","City of Los Angeles, Bureau of Sanitation, CA",1962,1974,Closed,41,,130,,,"5,500,000",,0,,Unknown,Not used,No,,Yes,0.7,,50,Yes,2,0.7,,8/02-Flare is used as backup.; 9/09-Two flares (one is back-up to the other).
1005910,344,Shoreline LF at Mountain View,CA,"Shoreline Regional Park SLF; Actually 3 LFs: 544 Acre, Vista, Crittenden","1780 Ampitheatre Parkway
2600 Shoreline Boulevard",Mountain View,Santa Clara,94043,37.4236,-122.0903,No,Public,"City of Mountain View, CA","City of Mountain View, CA",1968,1993,Closed,,342.7,30,,"12,727,051","12,727,050",1993,"267,340",1993,No,Not used,No,2.42,Yes,0.97,2017,43.5,Yes,3,,,"Enclosed ground flares; 2012-271 wells, system capacity=4200 acfm."
,277,Shoshone Disposal Site,CA,,,Shoshone,Inyo,92384,35.9708,-116.24444,No,Public,United States Bureau of Land Management,Inyo County Integrated Waste Management,,2052,Open,20,,,,,"15,708",,0,2004,Unknown,Not used,No,,No,,,,No,,,,
1013147,278,Sierra Army Depot,CA,,74 Currant Street,Herlong,Lassen,96113,40.16278,-120.15889,No,Public,United States Army,United States Army,1922,2082,Open,40,,,,,"236,055",,256,2017,No,Not used,No,,No,,,,No,,,,
1007816,279,Simi Valley LF,CA,,2801 N. Madera Road,Simi Valley,Ventura,93065,34.29454,-118.79544,Yes,Private,"Waste Management, Inc.","Waste Management, Inc.",1970,2074,Open,185.6,143.7,,,"138,635,608","27,079,067",2017,"1,900,660",2017,Yes,Several times per year,No,8.14,Yes,5.294,2017,50.1,Yes,2,,,"2012-165 wells, system capacity=6700 acfm."
,280,Simpson Paper Company Landfill,CA,Dersch Road LF,Dersch Road,Anderson,Shasta,96007,40.47833,-122.21667,No,Private,,Simpson Paper Company,,1990,Closed,47,,,,,187,,0,,Unknown,Not used,No,,No,,,,No,,,,
1004123,1929,Sonoma County Central Disposal Site,CA,"Central Disposal Site (Sonoma) - Phases I, II, & III",500 Mecham Road,Petaluma,Sonoma,94952,38.29694,-122.74222,Yes,Public,"Sonoma County, CA","Republic Services, Inc.",1971,2042,Open,175,135.4,165,150,"19,593,354","14,211,210",2017,"655,796",2017,No,Not used,No,4.25,Yes,2.872,2017,51.3,Yes,,,,"2012-160 wells, system capacity=4375 acfm."
1008057,1715,South Chollas SLF,CA,,"6000 College Grove Drive
2781 Caminito Chollas",San Diego,San Diego,92105,32.7352,-117.0669,No,Public,"City of San Diego, CA","City of San Diego, CA",1951,1981,Closed,155,150,40,40,"4,750,000","4,750,000",1981,0,,Unknown,Not used,No,1.16,Yes,0.78,2012,34.1,Yes,1,0.78,2012,"2012-158 wells, system capacity=850 acfm."
,282,South Coast Refuse Disposal,CA,South Coast Solid Waste Site,Fish Rock Road,Gualala,Mendocino,95445,38.83,-123.54389,No,Public,Mendocino County Division of Solid Waste,Mendocino County Division of Solid Waste,,2001,Closed,10,,,,,"54,600",,"1,876",2000,Unknown,Not used,No,,No,,,,No,,,,
,20804,South Miramar LF,CA,,5180 Convoy Street,San Diego,San Diego,92111,32.842,-117.152,Yes,Public,"City of San Diego, CA",,1959,1973,Closed,,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,283,Southeast Regional Solid Waste Disposal Site,CA,Southeast Regional,12716 Dinuba Avenue,Selma,Fresno,93662,36.59049,-119.56238,No,Public,"Fresno County, CA","Fresno County, CA",1970,1990,Closed,,74,,45,"1,850,000","1,850,000",,0,,Unknown,Not used,No,,Yes,,,28,Yes,1,0.259,,9/12-Includes 78 collection wells.
1003395,354,Spadra LF,CA,,4125 W. Valley Boulevard,Walnut,Los Angeles,91789,34.03864,-117.82379,No,Public,"Sanitation Districts of Los Angeles County, CA","Sanitation Districts of Los Angeles County, CA",1957,2000,Closed,323,173,150,,,"17,268,344",2000,"169,118",2000,No,Not used,No,5.63,Yes,4.866,2017,25,Yes,6,,,"9/10-365 wells on 173 acres, gas collection began in 1984, 6 enclosed flares.; 2012-392 wells, system capacity=8500 acfm."
,285,Stonyford Disposal Site,CA,,Lodoga/Stonyford Road,Stonyford,Colusa,95979,39.36037,-122.54461,No,Public,"Colusa County, CA","Colusa County, CA",,2064,Open,3.3,,,,,"10,000",2004,386,2004,Unknown,Not used,No,,No,,,,No,,,,
1003386,114,Sunnyvale LF,CA,City of Sunnyvale LF,301 Carl Road,Sunnyvale,Santa Clara,94089,37.4184,-122.00776,No,Public,"City of Sunnyvale, CA","City of Sunnyvale, CA",1920,1993,Closed,,93,75,60,,"2,300,000",,0,,Unknown,Not used,No,0.422,Yes,0.361,2012,37.6,Yes,,,,"2012-68 wells, system capacity=420 acfm."
1003679,286,Sunshine Canyon Landfill,CA,North Valley Landfill,14747 San Fernando Road,Sylmar,Los Angeles,91342,34.32352,-118.50294,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1955,2037,Open,,350.6,200,,"109,393,338","60,688,807",2017,"2,018,882",2017,No,Not used,No,,Yes,24.846,2017,44.5,Yes,2,,,"1/03-McGill Model EGF-125 flares, third under construction.; 2012-521 wells, system capacity=20501 acfm."
1003680,287,Sycamore SLF,CA,,8514 Mast Boulevard,Santee,San Diego,92071,32.8496,-117.02667,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1962,2091,Open,324,153,250,213,"41,611,821","29,101,095",2017,"988,474",2017,No,Not used,No,6.09,Yes,4.62,2017,45.8,Yes,2,,,"9/10-220 wells over 163 acres, 2 enclosed flares.; 2012-208 wells, system capacity=6374 acfm."
,288,Taft SLF,CA,,13351 Elk Hills Road,Taft,Kern,93268,35.20377,-119.45314,No,Public,"Kern County, CA","Kern County, CA",1972,2064,Open,85,40,120,60,"5,910,000","1,627,135",2009,"34,849",2008,Unknown,Not used,No,0.072,No,,,,No,,,,
1002634,289,Tajiguas SLF,CA,,14470 Calle Real,Gaviota,Santa Barbara,93117,34.47694,-120.12417,Yes,Public,"Santa Barbara County, CA","Santa Barbara County, CA",1967,2026,Open,,106.1,,,"14,001,750","11,737,256",2017,"214,890",2017,No,Not used,No,2.24,Yes,1.82,2012,52.7,Yes,,0.316,2012,"2012-86 wells, system capacity=2000 acfm."
1004403,290,Teapot Dome Landfill,CA,Teapot Dome Disposal Site,21063 Avenue 128,Porterville,Tulare,93257,36.02111,-119.10583,No,Public,"Tulare County, CA","Tulare County, CA",1971,2024,Open,,71,45,,"5,911,242","3,228,933",2017,"112,487",2017,No,Not used,No,0.727,Yes,0.207,2017,48.8,Yes,,0.207,2017,"2012-41 wells, system capacity=350 acfm."
,291,Tecopa Disposal Site,CA,,,Tecopa,Inyo,92389,35.85071,-116.18246,No,Public,,Inyo County Integrated Waste Management,,2050,Open,29,,,,,"48,707",,0,2004,Unknown,Not used,No,,No,,,,No,,,,
,292,Tehachapi SLF,CA,,12001 Tehachapi Boulevard,Tehachapi,Kern,93561,35.12362,-118.34031,No,Public,"Kern County, CA","Kern County, CA",1973,2020,Open,32,32,80,60,"2,078,000","1,649,600",2008,"60,150",2009,Unknown,Not used,No,0.17,Yes,0.08,,,Yes,,0.08,,
1005368,256,Tehama County/Red Bluff Landfill,CA,,19995 Plymire Rd,Red Bluff,Tehama,96080,40.196,-122.29742,No,Public,"City of Red Bluff, CA; Tehama County, CA","Waste Connections, Inc.",1974,2048,Open,120,37.8,,80,"3,606,399","1,714,154",2017,"54,335",2017,No,Not used,No,0.744,Yes,0.464,2016,38.8,Yes,1,0.464,2016,"11/07-LFG collection system in Phase 1.; 2012-12 wells, system capacity=500 acfm."
,223,Tennant Solid Waste Disposal Site,CA,,,Tennant,Siskiyou,,,,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,,Unknown,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,
1004743,294,Toland Road SLF,CA,,3500 North Toland Road,Santa Paula,Ventura,93060,34.4025,-118.99806,No,Public,"Ventura Regional Sanitation District, CA","Ventura Regional Sanitation District, CA",1970,2027,Open,86,38.6,435,,"14,278,310","8,634,149",2017,"425,051",2017,Yes,Several times per year,No,,Yes,1.796,2017,50.1,Yes,1,,,"2012-83 wells, system capacity=1800 acfm."
1006089,343,Toyon Canyon LF,CA,Toyon Canyon Park Reclamation Project,5050 Mt Hollywood Drive,Los Angeles,Los Angeles,90027,34.1444,-118.3012,Yes,Public,"City of Los Angeles, Bureau of Sanitation, CA","City of Los Angeles, Bureau of Sanitation, CA",1957,1985,Closed,90,90,,290,,"16,574,265",1985,"571,526",1985,No,Not used,No,2.48,Yes,0.928,2017,48,Yes,1,0.39,,"8/02-backup to the plant.; 5/05-152 gas collection wells of which 100 provide LFG for project while LFG from 52 is flared (~23 acres of the 88 are flared).; 2012-380 wells, system capacity=700 acfm."
1007836,137,Tri-Cities Landfill,CA,Durham Road SLF,7010 Auto Mall Parkway,Fremont,Alameda,94538,37.49227,-121.99229,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1967,2012,Closed,225,115,,104,"17,343,900","16,814,600",2009,"87,661",2012,No,Not used,No,2.65,Yes,1.868,2017,48.7,Yes,1,1.868,2017,"9/10-38 wells over 105 acres, system installed in 1987, 1 enclosed flare.; 2012-34 wells, system capacity=2893 scfm."
,295,Trona-Argus Refuse Disposal Site,CA,,83000 1st Street,Trona,San Bernardino,93562,35.7632,-117.399,No,Public,"San Bernardino County, CA",,1956,1995,Closed,19,,,33,"594,000","445,500",,"2,485",,Unknown,Not used,No,,No,,,,No,,,,
,297,Tulelake SLF,CA,Tulelake Solid Waste LF,,Tulelake,Siskiyou,96134,41.95,-121.466667,No,Public,City of Tulelake,"Siskiyou County, CA",,2001,Closed,9,,,,,"75,000",,"1,584",1999,Unknown,Not used,No,,No,,,,No,,,,
,298,Tuolumne County Central SLF,CA,,1800 Seco Terrace Drive,Jamestown,Tuolumne,95327,37.94833,-120.4062,No,Public,"County of Tuolumne, CA","County of Tuolumne, CA",,2005,Closed,21,,,,,"986,400",,"25,673",1994,Unknown,Not used,No,,No,,,,No,,,,
,299,Twentynine Palms Disposal Site,CA,,7501 Pinto Mountain Road,Twentynine Palms,San Bernardino,92277,34.1192,-115.9652,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1954,1998,Closed,39,,,,"738,000","553,500",,"18,545",1997,Unknown,Not used,No,,No,,,,No,,,,
,300,Twin Bridges LF,CA,,8103 Millville Plains Road,Anderson,Shasta,96007,40.49722,-122.19694,No,Private,,Simpson Paper Company,1990,2002,Closed,21,,,,,"114,600",2002,"10,866",2000,Unknown,Not used,No,,No,,,,No,,,,
,301,Two Harbors LF Site,CA,,Santa Catalina Island Two Harbors,Avalon,Los Angeles,90704,33.43654,-118.5058,No,Private,Santa Catalina Island Conservancy,Catalina Cove & Camp Agency,,1993,Closed,3,,,,,"25,000",,,,Unknown,Not used,No,,No,,,,No,,,,
,306,U.S.M.C. 29 Palms Disposal Site,CA,,,Twentynine Palms,San Bernardino,92277,34.133334,-116.05,No,Public,,United States Navy,,2066,Open,69,,,,,"612,000",,"5,947",2004,Unknown,Not used,No,,No,,,,No,,,,
,302,Union Mine Disposal Site,CA,,5700 Union Mine Road,El Dorado,El Dorado,95623,38.648,-120.8298,No,Public,"El Dorado County, CA",,1969,2012,Closed,41,6,,,,"1,000,000",,"1,478",2004,Unknown,Not used,No,,Yes,0.35,,34.6,Yes,1,0.235,,9/09-23 wells & flare installed over 35 acres in early 1990s.
,303,University of California at Davis SLF,CA,,West End Of UCD Campus On County Road 98,Davis,Yolo,95616,38.52972,-121.80556,No,Private,University of California at Davis,University of California at Davis,,,Closed,39,,,,,"534,000",,"12,904",2004,Unknown,Not used,No,,Yes,,,,Yes,,,,
,1775,Upland LF,CA,,"1460 N. Campus Avenue
BTW E. 14th and E. 15th",Upland,San Bernardino,91786,34.11667,-117.64,No,Public,"City of Upland, CA",,1950,1979,Closed,34,,,,,"550,000",,,,Unknown,Not used,No,,Yes,,,,Yes,,,,
,307,Valley Tree & Construction Disposal Site,CA,Valley Center,4233 Quinn Road,Bakersfield,Kern,93308,35.44521,-119.08308,No,Private,Valley Tree & Construction,Valley Tree & Construction,,1978,Closed,75,,,,,"130,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,308,Vandenberg Air Force Base LF,CA,,SE of Washington and New Mexico Avenue,Vandenberg Air Force Base,Santa Barbara,93437,34.7197,-120.52418,No,Public,United States Air Force,United States Air Force,1941,2064,Open,,46,,60,"1,089,724","896,374",2009,"8,482",2009,Unknown,Not used,No,,No,,,,No,,,,
1007040,309,Vasco Road SLF,CA,,4001 North Vasco Road,Livermore,Alameda,94550,37.75333,-121.72333,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1962,2032,Open,222,204.2,,,"29,915,008","26,383,772",2017,"774,529",2017,Yes,Several times per year,No,5.63,Yes,3.1,2012,50.1,Yes,,,,"2012-80 wells, system capacity=4000 acfm."
1007607,311,Victorville Sanitary Landfill,CA,,18600 Stoddard Wells Road,Victorville,San Bernardino,92392,34.59333,-117.27,Yes,Public,"San Bernardino County, CA",BURRTEC,1975,2047,Open,341,82,,100,"49,928,546","11,154,009",2017,"302,624",2017,No,Not used,No,2.32,Yes,0.675,2012,36.2,Yes,1,0.675,2012,"9/10-50 wells over 67 acres, gas collection began in 2003, 1 enclosed flare.; 2010-77 wells, system capacity=2000 acfm."
1004548,312,Visalia Landfill,CA,Tulare County Refuse Disposal; Visalia Disposal Site,"33466 Road 80
8614 Avenue 328",Visalia,Tulare,93291,36.39222,-119.39194,No,Public,"Tulare County, CA","Tulare County, CA",1971,2127,Open,247,147,,,"13,975,392","6,054,669",2017,"311,468",2017,No,Not used,No,1.12,Yes,0.686,2017,45.1,Yes,,0.686,2017,"2012-61 wells, system capacity=5000 acfm."
,313,Walker SLF,CA,,280 Offal Road,Walker,Mono,96107,38.5545,-119.4548,No,Public,United States Bureau of Land Management,"Mono County, CA",,2162,Open,25,,,,,"50,000",2004,50,2004,Unknown,Not used,No,,No,,,,No,,,,
,317,Weaverville LF Disposal Site,CA,,"1.5 Mi Ne Weaverville
Off Hwy 3",Weaverville,Trinity,96093,40.74389,-122.925,No,Public,"County of Trinity, CA","County of Trinity, CA",,,Closed,,,,,,"147,000",,"4,738",1999,Unknown,Not used,No,,No,,,,No,,,,
,318,Weed Solid Waste Disposal Site,CA,,Angel Valley Road east of Weed,Weed,Siskiyou,96094,41.43,-122.352,No,Private,"Catellis Corp; Santa Fe Pac. Prop, Inc.",City of Weed Public Works,,1995,Closed,6,,,,,"25,000",,"3,003",1994,Unknown,Not used,No,,No,,,,No,,,,
1001819,319,West Central LF,CA,Clear Creek LF,14095 Clear Creek Road,Igo,Shasta,96047,40.48156,-122.53498,No,Public,"Shasta County, CA","City of Redding, CA",1982,2033,Open,120,87.8,130,80,"6,810,601","4,286,057",2017,"140,507",2017,No,Not used,No,1.46,Yes,0.938,2017,52.7,Yes,,0.938,2017,"2012-25 wells, system capacity=1500 acfm."
1005195,320,West Contra Costa SLF,CA,West County LF,1 Parr Boulevard,Richmond,Contra Costa,94801,37.96778,-122.37639,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1953,2006,Closed,,174,,,,"14,950,000",2006,"296,676",2004,Unknown,Not used,No,3.27,Yes,2.79,2012,41.6,Yes,,,,"2012-133 wells, system capacity=220 acfm."
,321,"West Marin Sanitary Landfill, Inc.",CA,,,Point Reyes Station,Marin,94956,38.06279,-122.81302,No,Private,"West Marin Sanitary Landfill, Inc.","West Marin Sanitary Landfill, Inc.",,1998,Closed,25,,,,,"135,488",,"9,228",1996,Unknown,Not used,No,,No,,,,No,,,,
1005061,214,West Miramar SLF,CA,,5180 Convoy Street,San Diego,San Diego,92111,32.856,-117.162,Yes,Public,United States Navy,"City of San Diego, CA",1983,2025,Open,1388,477,50,50,"52,665,014","42,909,503",2017,"868,432",2017,Yes,Several times per year,No,9.59,Yes,8.951,2016,51.4,Yes,3,,,"12/04-Collect LFG from 4 noncontiguous filling areas, >275 wells, 2 blower stations, 3 flares, 5 blowers, 50 sumps, & >35,000 ft of HDP piping.; 9/12-Had 273 wells, added 80 more for project expansions.; 2012-232 wells, system capacity=10200 acfm."
,322,West Seventh Street Disposal Site,CA,,,San Bernardino,San Bernardino,,,,No,Private,"Donald C. Hubbs, Inc.","Donald C. Hubbs, Inc.",,,Unknown,10,,,,,"5,563",,0,,Unknown,Not used,No,,No,,,,No,,,,
1006501,247,Western Regional SLF,CA,,3195 Athens Avenue,Lincoln,Placer,95648,38.83583,-121.34472,Yes,Public,"Western Placer Waste Management Authority, CA","Waste Connections, Inc.",1979,2058,Open,225,156.9,,,"24,104,176","7,418,270",2017,"283,532",2017,No,Not used,No,2.38,Yes,2.265,2017,50.4,Yes,,,,"2012-143 wells, system capacity=2500 acfm."
,323,Westwood Disposal Facility,CA,,,Westwood,Lassen,96130,40.318,-121.02272,No,Private,"W.M. Beaty & Associates, Inc.","Lassen Regional Solid Waste Management Authority, CA",,2027,Open,40,,,,,"50,000",2004,"2,160",2004,Unknown,Not used,No,,No,,,,No,,,,
1004402,324,Woodville Landfill,CA,Woodville Disposal Site,19800 Road 152,Tulare,Tulare,93274,36.15056,-119.23139,No,Public,"Tulare County, CA","Tulare County, CA",1971,2014,Closed,271,64,,,"9,841,834","2,976,759",2014,"44,538",2014,No,Not used,No,0.846,Yes,0.534,2017,30.1,Yes,,0.534,2017,"2012-42 wells, system capacity=1700 acfm."
,326,Yermo Disposal Site,CA,,40950 Minneola Road,Yermo,San Bernardino,92398,34.94002,-116.766,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1964,1998,Closed,16.5,,,,"12,560","12,560",,"1,024",1994,Unknown,Not used,No,,No,,,,No,,,,
1011371,327,Yolo County Central LF,CA,Yolo County Municipal LF,44090 County Road 28H,Woodland,Yolo,95776,38.59028,-121.69222,Yes,Public,"Yolo County, CA","Yolo County, CA",1975,2124,Open,473,190,60,,"61,456,096","8,173,544",2017,"204,412",2017,Yes,Occasionally but not every year,Yes,2.232,Yes,2,,49.5,Yes,,0.6,,
,328,Yreka Solid Waste LF,CA,,2420 Oberlin Road,Yreka,Siskiyou,96097,41.70031,-122.59772,No,Public,"Siskiyou County, CA","Siskiyou County, CA",1970,2007,Closed,52,,,,,"200,000",2004,"8,254",2004,Unknown,Not used,No,,No,,,,No,,,,
,330,Yuba-Sutter Disposal Area,CA,,Highway 20,Marysville,Yuba,95901,39.16333,-121.55833,Yes,Private,"Barbieri, David","Barbieri, David",,1996,Closed,30,,,,,"2,268,000",,0,,Unknown,Not used,No,,No,,,,No,,,,
,10560,Yucaipa Refuse Disposal Site,CA,,33600 Oak Glen Road,Yucaipa,San Bernardino,92399,34.0465,-117.06,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1963,1980,Closed,23,,,40,"600,000","450,000",,,,Unknown,Not used,No,,Yes,0.15,,,Unknown,,,,"9/10-28 wells over 23 acres, no flare, uses granular activated carbon filters to remove VOCs."
,331,Zanker Road (Nine Par) SLF,CA,,705 Los Esteros Road,San Jose,Santa Clara,95134,37.43325,-121.95713,Yes,Private,Green Waste Recovery,Green Waste Recovery,1956,,Open,70,,,,,"1,000,000",2004,"13,362",2004,Unknown,Not used,No,,No,,,,No,,,,
